loinc_code,analyte,specimen,units,reference_low,reference_high,reference_source_name,reference_source_url,reference_source_quote,critical_low,critical_high,critical_source_name,critical_source_url,critical_source_quote,population,notes
3094-0,Urea nitrogen (BUN),Serum or Plasma,mg/dL,6.0,20.0,MedlinePlus Medical Encyclopedia — BUN blood test,https://medlineplus.gov/ency/article/003474.htm,The normal result is generally 6 to 20 mg/dL.,,,,,,adult-general,
6299-2,Urea nitrogen (BUN),Whole Blood,mg/dL,6.0,20.0,MedlinePlus Medical Encyclopedia — BUN blood test,https://medlineplus.gov/ency/article/003474.htm,The normal result is generally 6 to 20 mg/dL.,,,,,,adult-general,
2075-0,Chloride,Serum or Plasma,mmol/L,98.0,107.0,MedlinePlus Medical Encyclopedia — Chloride test (blood),https://medlineplus.gov/ency/article/003485.htm,A typical normal range is 98 to 107 milliequivalents per liter (mEq/L).,,,,,,adult-general,
2069-3,Chloride,Whole Blood,mmol/L,98.0,107.0,MedlinePlus Medical Encyclopedia — Chloride test (blood),https://medlineplus.gov/ency/article/003485.htm,A typical normal range is 98 to 107 milliequivalents per liter (mEq/L).,,,,,,adult-general,
2028-9,Carbon dioxide (bicarbonate),Serum or Plasma,mmol/L,23.0,29.0,MedlinePlus Medical Encyclopedia — CO2 blood test,https://medlineplus.gov/ency/article/003469.htm,The normal range is 23 to 29 milliequivalents per liter (mEq/L).,,,,,,adult-general,
20565-8,Carbon dioxide (bicarbonate),Whole Blood,mmol/L,23.0,29.0,MedlinePlus Medical Encyclopedia — CO2 blood test,https://medlineplus.gov/ency/article/003469.htm,The normal range is 23 to 29 milliequivalents per liter (mEq/L).,,,,,,adult-general,
4548-4,Hemoglobin A1c,Whole Blood,%,,5.7,MedlinePlus — Hemoglobin A1C (HbA1c) Test,https://medlineplus.gov/lab-tests/hemoglobin-a1c-hba1c-test/,Normal: A1C below 5.7%,,,,,,adult-general,"Upper bound only: the source states a normal ceiling, not a floor. The empty low bound is deliberate."
718-7,Hemoglobin,Whole Blood,g/dL,12.1,17.2,MedlinePlus Medical Encyclopedia — Hemoglobin,https://medlineplus.gov/ency/article/003645.htm,Male: 13.8 to 17.2 grams per deciliter (g/dL) … Female: 12.1 to 15.1 g/dL,,,,,,adult-general,Sex-specific bands combined into one adult-general band; the quote carries both.
4544-3,Hematocrit,Whole Blood,%,34.0,48.0,MedlinePlus Medical Encyclopedia — Hematocrit,https://medlineplus.gov/ency/article/003646.htm,Male: 37% to 48% Female: 34% to 43%,,,,,,adult-general,Sex-specific bands combined; the quote carries both.
6690-2,Leukocytes (WBC),Whole Blood,10*3/uL,4.5,11.0,MedlinePlus Medical Encyclopedia — WBC count,https://medlineplus.gov/ency/article/003643.htm,"The normal number of WBCs in the blood is 4,500 to 11,000 WBCs per microliter (4.5 to 11.0 × 10^9/L).",,,,,,adult-general,Source states cells/µL; converted to the 10*3/uL unit Synthea reports.
777-3,Platelets,Whole Blood,10*3/uL,150.0,400.0,MedlinePlus Medical Encyclopedia — Platelet count,https://medlineplus.gov/ency/article/003647.htm,"The normal number of platelets in the blood is 150,000 to 400,000 platelets per microliter (mcL) or 150 to 400 × 10^9/L.",,,,,,adult-general,
789-8,Erythrocytes (RBC),Whole Blood,10*6/uL,3.8,5.7,MedlinePlus Medical Encyclopedia — RBC count,https://medlineplus.gov/ency/article/003644.htm,Male: 4.2 to 5.7 million cells per microliter (cells/mcL) Female: 3.8 to 5.1 million cells/mcL,,,,,,adult-general,Sex-specific bands combined; the quote carries both.
1751-7,Albumin,Serum or Plasma,g/dL,3.4,5.4,MedlinePlus Medical Encyclopedia — Albumin blood (serum) test,https://medlineplus.gov/ency/article/003480.htm,The normal range is 3.4 to 5.4 g/dL (34 to 54 g/L).,,,,,,adult-general,
2885-2,Total protein,Serum or Plasma,g/dL,6.5,8.1,MedlinePlus Medical Encyclopedia — Total protein,https://medlineplus.gov/ency/article/003483.htm,The normal range is 6.5 to 8.1 grams per deciliter (g/dL) or 65 to 81 g/L.,,,,,,adult-general,
2093-3,Cholesterol (total),Serum or Plasma,mg/dL,,200.0,MedlinePlus — Cholesterol Levels: What You Need to Know,https://medlineplus.gov/lab-tests/cholesterol-levels/,Total Cholesterol Less than 200 mg/dL,,,,,,adult-general (age 20+),Upper bound only; the source states a healthy ceiling for adults aged 20 and over.
18262-6,Cholesterol in LDL,Serum or Plasma,mg/dL,,100.0,MedlinePlus — Cholesterol Levels: What You Need to Know,https://medlineplus.gov/lab-tests/cholesterol-levels/,LDL Less than 100 mg/dL,,,,,,adult-general (age 20+),Upper bound only.
2571-8,Triglycerides,Serum or Plasma,mg/dL,,150.0,MedlinePlus — Triglycerides Test,https://medlineplus.gov/lab-tests/triglycerides-test/,Healthy less than 150mg/dL,,,,,,adult-general,Upper bound only.
